省	cnc	ctc	cmnet	cernet	crtc
北京	124.64.0.1	218.30.25.218	211.136.25.1	202.112.2.1	61.232.0.1
上海	112.64.243.249	61.152.86.245	211.136.103.1	58.194.67.1	
天津	61.181.25.6	221.238.0.1	211.137.148.1	211.68.119.1	61.232.27.29
重庆	58.17.144.1	113.248.0.1	211.139.47.1	121.49.2.1	61.232.224.1
安徽	58.242.193.134	61.190.246.182	211.138.183.1	219.231.0.1	61.235.40.174
福建	220.249.160.86	125.77.0.1	211.138.149.1	218.193.0.1	61.234.206.1
广东	58.248.0.1	121.8.0.1	211.136.209.1	202.192.0.254	61.235.71.1
甘肃	60.13.0.1	61.178.6.234	211.139.81.1	58.206.160.1	
广西	121.31.0.1	61.139.202.1	211.138.246.1	210.36.1.254	61.232.151.254
贵州	58.16.115.2	219.141.0.1	211.139.0.1	222.198.192.1	61.236.182.1
河北	121.16.11.1	123.180.0.1	211.138.4.1	121.195.194.1	
湖北	58.19.121.174	59.175.246.38	211.137.48.1	59.68.63.1	61.234.146.138
黑龙江	221.212.1.90	112.98.11.1	211.137.246.1	58.155.0.1	61.236.113.240
海南	124.66.0.1	218.77.128.78	211.138.173.1	222.17.193.1	
河南	221.13.224.238	219.150.112.2	211.142.130.1	125.219.12.254	61.233.64.1
湖南	119.39.0.1	58.44.48.1	211.138.224.1	202.197.9.1	61.234.251.1
吉林	125.32.0.1	219.149.194.55	211.137.208.1	202.198.129.1	61.232.171.161
江苏	58.240.51.134	218.4.122.250	211.139.96.1	58.192.16.1	61.232.109.2
江西	58.17.1.70	59.53.96.246	211.141.82.1	218.193.192.1	
辽宁	123.188.0.1	123.184.0.1	211.137.6.1	58.194.32.1	61.232.157.1
内蒙	202.99.226.138	219.148.168.182	211.138.95.1	202.207.64.1	61.233.55.1
宁夏	221.199.0.5	124.224.8.134	211.138.56.1	210.27.205.1	61.232.246.70
青海	221.207.0.1	218.95.227.1	211.138.72.1		
四川	119.6.149.238	125.64.0.1	218.200.161.1	121.49.108.1	61.236.124.1
山东	123.129.192.5	219.146.0.252	211.137.180.1	58.194.177.1	211.98.243.23
山西	60.220.3.1	219.147.37.1	211.137.112.1	219.243.148.1	61.233.135.9
陕西	124.89.1.1	61.150.0.1	211.138.101.1	59.74.32.1	61.232.197.1
新疆	221.7.3.26	110.152.0.1	211.138.42.1	59.75.128.1	61.233.207.1
西藏	221.13.64.1	219.151.32.6	211.139.73.1	210.41.0.1	
云南	221.3.128.242	61.138.193.1	211.139.21.1	121.49.128.1	
浙江	218.106.32.66	202.96.96.1	211.138.120.1	58.206.194.1	61.234.191.1
台湾					
香港					
澳门					
